month,installment,dividend real,net real,dividend v3 (held out),net v3 (held out)
1,20000.0,3500.0,-16500.0,3500.0,-16500.0
2,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
3,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
4,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
5,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
6,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
7,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
8,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
9,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
10,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
11,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
12,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
13,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
14,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
15,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
16,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
17,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
18,20000.0,7000.0,-13000.0,7000.000000000001,-13000.0
19,20000.0,5727.0,-14273.0,6720.0,-13280.0
20,20000.0,6050.0,586050.0,6134.0,629434.0
21,20000.0,2580.0,-17420.0,5072.0,-14928.0
22,20000.0,5960.0,-14040.0,5096.000000000001,-14904.0
23,20000.0,6000.0,-14000.0,5000.0,-15000.0
24,20000.0,4460.0,-15540.0,4700.0,-15300.0
25,20000.0,4783.0,-15217.0,4158.000000000001,-15842.0
26,20000.0,5163.0,-14837.0,4210.000000000001,-15790.0
27,20000.0,4430.0,-15570.0,3868.0000000000005,-16132.0
28,20000.0,3680.0,-16320.0,3521.9999999999995,-16478.0
29,20000.0,3510.0,-16490.0,3600.0,-16400.0
30,20000.0,3250.0,-16750.0,2583.9999999999995,-17416.0
31,20000.0,2931.0,-17069.0,2550.0,-17450.0
32,20000.0,2750.0,-17250.0,2643.9999999999995,-17356.0
33,20000.0,2110.0,-17890.0,2870.0000000000005,-17130.0
34,20000.0,2865.0,-17135.0,2905.9999999999995,-17094.0
35,20000.0,2660.0,-17340.0,2310.0,-17690.0
36,20000.0,1434.0,-18566.0,1700.0,-18300.0
37,20000.0,800.0,-19200.0,1500.0,-18500.0
38,20000.0,1571.0,-18429.0,970.0,-19030.0
39,20000.0,550.0,-19450.0,625.9999999999999,-19374.0
