month,installment,dividend real,net real,dividend v3 (held out),net v3 (held out),dividend v2,net v2
1,4000.0,900.0,-3100.0,900.0000000000001,-3100.0,899.9999999999999,-3100.0
2,4000.0,1200.0,-2800.0,1200.0,-2800.0,1200.0,-2800.0
3,4000.0,1200.0,-2800.0,1200.0,-2800.0,1200.0,-2800.0
4,4000.0,1200.0,-2800.0,1200.0,-2800.0,1148.0000000000002,-2852.0
5,4000.0,1200.0,-2800.0,1200.0,-2800.0,1094.96,-2905.04
6,4000.0,1200.0,-2800.0,1080.0,-2920.0,1040.84,-2959.16
7,4000.0,1200.0,-2800.0,672.8,-3327.2,985.6800000000002,-3014.3199999999997
8,4000.0,1200.0,-2800.0,754.4,-3245.6,929.4,-3070.6
9,4000.0,555.0,-3445.0,534.0,-3466.0,871.96,-3128.04
10,4000.0,571.0,-3429.0,426.3999999999999,-3573.6,813.4000000000001,-3186.6
11,4000.0,372.0,-3628.0,443.2,-3556.8,753.6799999999998,-3246.32
12,4000.0,304.0,81704.0,345.2,82715.2,692.76,74373.76
13,4000.0,237.0,-3763.0,266.4,-3733.6,630.6,-3369.4
14,4000.0,251.0,-3749.0,268.0,-3732.0,567.24,-3432.76
15,4000.0,261.0,-3739.0,113.99999999999999,-3886.0,502.55999999999995,-3497.44
16,4000.0,221.0,-3779.0,93.2,-3906.8,453.12,-3546.88
17,4000.0,91.0,-3909.0,37.599999999999994,-3962.4,402.92,-3597.08
18,4000.0,80.0,-3920.0,14.79999999999998,-3985.2,351.96,-3648.04
19,4000.0,92.0,-3908.0,11.999999999999982,-3988.0,300.24,-3699.76
20,4000.0,23.0,-3977.0,11.6,-3988.4,247.72,-3752.28
21,4000.0,6.0,-3994.0,5.999999999999977,-3994.0,194.44,-3805.56
22,4000.0,0.0,-4000.0,3.1999999999999806,-3996.8,140.35999999999999,-3859.64
23,4000.0,0.0,-4000.0,0.0,-4000.0,85.48,-3914.52
