groupid,duration,chit_value,status,max_auction_month,months_present,completeness_pct,apm_mode,apm_consistency,has_reauctions,usable,cap
209,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
24176,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
45057,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
48710,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48716,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48719,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48725,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48731,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48746,25,500000.0,yes,25,25,1.0,1,1.0,True,True,0.3
48749,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48755,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48767,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48782,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
48788,25,100000.0,yes,25,25,1.0,2,1.0,True,True,0.3
208513,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
441290,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
567592,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
673880,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.3
938494,25,100000.0,yes,25,25,1.0,10,1.0,True,True,0.3
1374195,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
1456243,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
1551546,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
1736358,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
1797194,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
1918477,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2071041,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2112209,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
2236854,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2381939,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2475717,25,100000.0,yes,25,25,1.0,4,0.96,True,True,0.35
2590684,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2665818,25,200000.0,yes,25,25,1.0,4,0.92,True,True,0.35
2717905,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
2719521,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2787079,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2894339,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
2915335,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
2985540,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
3082042,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
3118089,25,500000.0,yes,25,25,1.0,2,0.96,True,True,0.35
3153916,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
3202712,25,1000000.0,yes,25,25,1.0,2,1.0,True,True,0.35
3307604,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
3338588,50,1000000.0,no,40,40,0.8,2,0.95,True,False,0.4
3338611,50,500000.0,no,40,40,0.8,2,0.875,True,False,0.4
3506888,50,1000000.0,no,39,39,0.78,2,0.9743589743589743,True,False,0.4
3526820,50,500000.0,no,39,39,0.78,2,0.9230769230769231,True,False,0.4
3560388,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
3668197,50,1000000.0,no,38,37,0.74,2,0.8108108108108109,True,False,0.4
3699908,50,500000.0,no,38,38,0.76,2,0.8157894736842105,True,False,0.4
3826217,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
4185643,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
4268514,50,500000.0,no,36,36,0.72,2,0.8888888888888888,True,False,0.4
4268551,50,1000000.0,no,36,35,0.7,2,0.8857142857142857,True,False,0.4
4315357,50,500000.0,no,36,36,0.72,2,0.9166666666666666,True,False,0.4
4332722,50,1000000.0,no,34,34,0.68,2,0.8823529411764706,True,False,0.4
4380358,50,500000.0,no,34,33,0.66,2,0.9696969696969697,True,False,0.4
4711534,50,1000000.0,no,32,32,0.64,2,0.875,True,False,0.4
4712337,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
4751330,25,500000.0,yes,25,25,1.0,2,1.0,True,True,0.35
4816625,50,500000.0,no,32,32,0.64,2,0.9375,True,False,0.4
5206949,50,1000000.0,no,30,30,0.6,2,0.8666666666666667,True,False,0.4
5206971,50,500000.0,no,30,29,0.58,2,0.896551724137931,True,False,0.4
5267884,25,2500000.0,yes,25,25,1.0,1,1.0,True,True,0.35
5642186,50,1000000.0,no,29,29,0.58,2,0.7931034482758621,True,False,0.4
5642220,50,500000.0,no,29,29,0.58,2,0.9310344827586207,True,False,0.4
5861341,50,500000.0,no,28,28,0.56,2,0.9285714285714286,True,False,0.4
5886785,25,100000.0,yes,25,25,1.0,4,1.0,True,True,0.35
5984401,50,1000000.0,no,27,27,0.54,2,0.8888888888888888,True,False,0.4
6063270,50,500000.0,no,27,26,0.52,2,0.8461538461538461,True,False,0.4
6201188,25,100000.0,yes,25,25,1.0,4,0.96,True,True,0.35
6231734,50,1000000.0,no,26,26,0.52,2,0.8461538461538461,True,False,0.4
6302227,50,500000.0,no,26,26,0.52,2,0.8846153846153846,True,False,0.4
6526499,25,2500000.0,yes,25,25,1.0,1,1.0,True,True,0.35
6526522,50,500000.0,no,25,25,0.5,2,0.76,True,False,0.4
6678381,50,1000000.0,no,25,25,0.5,2,0.72,True,False,0.4
6857426,50,2500000.0,no,23,22,0.44,2,0.6818181818181818,True,False,0.4
6905753,50,500000.0,no,24,24,0.48,2,0.9166666666666666,True,False,0.4
6929397,25,100000.0,no,24,24,0.96,4,0.9583333333333334,True,False,0.35
6997138,50,1000000.0,no,24,24,0.48,2,0.9166666666666666,True,False,0.4
7066615,50,500000.0,no,23,23,0.46,2,0.9130434782608695,True,False,0.4
7191905,25,100000.0,no,23,23,0.92,4,1.0,True,False,0.35
7203234,50,500000.0,no,23,23,0.46,2,0.782608695652174,True,False,0.4
7244218,50,1000000.0,no,23,23,0.46,2,0.782608695652174,True,False,0.4
7794310,50,500000.0,no,22,22,0.44,2,0.9090909090909091,True,False,0.4
7794328,50,1000000.0,no,21,20,0.4,2,0.75,True,False,0.4
7794425,50,2500000.0,no,19,19,0.38,2,0.7894736842105263,True,False,0.4
7794462,25,100000.0,no,22,22,0.88,4,0.8181818181818182,True,False,0.35
8285194,50,500000.0,no,21,21,0.42,2,0.9047619047619048,True,False,0.4
8285250,25,100000.0,no,20,20,0.8,4,1.0,True,False,0.35
8396220,50,1000000.0,no,20,20,0.4,2,0.7,True,False,0.4
8396297,50,500000.0,no,20,20,0.4,2,0.8,True,False,0.4
8662845,25,100000.0,no,19,19,0.76,4,0.8421052631578947,True,False,0.35
8662887,50,500000.0,no,19,19,0.38,2,0.7894736842105263,True,False,0.4
8662959,50,1000000.0,no,19,18,0.36,2,0.8333333333333334,True,False,0.4
8960683,25,1000000.0,no,16,16,0.64,2,0.8125,True,False,0.3
8960720,25,500000.0,no,17,17,0.68,2,0.9411764705882353,True,False,0.3
9095950,25,100000.0,no,17,17,0.68,4,0.9411764705882353,True,False,0.35
9096244,50,500000.0,no,17,17,0.34,2,0.8823529411764706,True,False,0.4
9096261,50,1000000.0,no,17,17,0.34,2,0.7647058823529411,True,False,0.4
9348526,50,2500000.0,no,16,16,0.32,2,0.5625,True,False,0.4
9369714,25,100000.0,no,16,16,0.64,4,0.8125,True,False,0.35
9369746,50,500000.0,no,16,16,0.32,2,0.875,True,False,0.4
9448661,50,1000000.0,no,16,16,0.32,2,0.8125,True,False,0.4
9705705,50,500000.0,no,15,15,0.3,2,0.9333333333333333,True,False,0.4
9705720,25,100000.0,no,15,15,0.6,4,0.8666666666666667,True,False,0.35
9738840,50,1000000.0,no,15,15,0.3,2,0.6,True,False,0.4
9781842,50,2500000.0,no,14,14,0.28,2,0.8571428571428571,True,False,0.4
9873700,50,500000.0,no,15,13,0.26,2,0.7692307692307693,True,False,0.4
9873736,25,100000.0,no,15,15,0.6,4,0.9333333333333333,True,False,0.35
10119958,50,2500000.0,no,12,12,0.24,2,0.6666666666666666,True,False,0.4
10120014,50,1000000.0,no,14,14,0.28,2,0.7857142857142857,True,False,0.4
10120035,50,500000.0,no,14,13,0.26,2,0.6923076923076923,True,False,0.4
10120069,25,100000.0,no,14,14,0.56,4,0.8571428571428571,True,False,0.35
10304207,50,1000000.0,no,13,13,0.26,2,0.9230769230769231,True,False,0.4
10304237,50,500000.0,no,14,14,0.28,2,0.8571428571428571,True,False,0.4
10304279,50,500000.0,no,13,12,0.24,2,0.9166666666666666,True,False,0.4
10304324,25,100000.0,no,13,13,0.52,4,0.8461538461538461,True,False,0.35
10546156,25,100000.0,no,13,13,0.52,4,0.9230769230769231,True,False,0.35
10546193,25,100000.0,no,12,12,0.48,4,0.75,True,False,0.35
10546264,50,500000.0,no,13,12,0.24,2,0.5833333333333334,True,False,0.4
10558982,50,1000000.0,no,12,11,0.22,2,0.9090909090909091,True,False,0.4
10641105,50,500000.0,no,12,12,0.24,2,0.6666666666666666,True,False,0.4
10702921,50,1000000.0,no,11,11,0.22,2,0.7272727272727273,True,False,0.4
10753857,50,2500000.0,no,10,10,0.2,2,0.9,True,False,0.4
10846075,25,100000.0,no,11,11,0.44,4,0.8181818181818182,True,False,0.35
10846109,50,500000.0,no,11,11,0.22,2,0.8181818181818182,True,False,0.4
10907765,25,100000.0,no,11,11,0.44,4,0.8181818181818182,True,False,0.35
10961949,50,500000.0,no,11,10,0.2,2,0.8,True,False,0.4
10962033,50,1000000.0,no,11,11,0.22,2,0.6363636363636364,True,False,0.4
11037074,25,100000.0,no,10,10,0.4,4,0.9,True,False,0.35
11124936,50,500000.0,no,10,10,0.2,2,1.0,True,False,0.4
11124961,50,1000000.0,no,10,10,0.2,2,0.8,True,False,0.4
11201232,25,100000.0,no,9,9,0.36,4,0.7777777777777778,True,False,0.35
11201281,50,500000.0,no,10,10,0.2,2,0.6,True,False,0.4
11245808,50,1000000.0,no,9,9,0.18,2,0.8888888888888888,True,False,0.4
11391301,25,100000.0,no,9,9,0.36,4,0.7777777777777778,True,False,0.35
11397683,50,1500000.0,no,8,8,0.16,2,0.875,True,False,0.4
11397713,50,500000.0,no,9,9,0.18,2,0.8888888888888888,True,False,0.4
11501391,50,1000000.0,no,8,8,0.16,2,1.0,True,False,0.4
11501436,50,500000.0,no,8,8,0.16,2,1.0,True,False,0.4
11551307,25,100000.0,no,8,8,0.32,4,0.75,True,False,0.35
11644095,50,500000.0,no,8,8,0.16,2,0.75,True,False,0.4
11656039,25,100000.0,no,8,8,0.32,4,0.5,True,False,0.35
11669564,25,500000.0,no,7,7,0.28,2,1.0,True,False,0.3
11669603,50,2500000.0,no,7,7,0.14,2,0.8571428571428571,True,False,0.4
11751713,50,500000.0,no,8,8,0.16,2,0.625,True,False,0.4
11758795,50,1000000.0,no,8,8,0.16,2,0.875,True,False,0.4
11806185,25,100000.0,no,7,7,0.28,4,0.5714285714285714,True,False,0.35
11878173,50,500000.0,no,7,6,0.12,2,1.0,True,False,0.4
11903775,25,100000.0,no,7,7,0.28,4,1.0,True,False,0.35
11941265,50,1000000.0,no,7,7,0.14,2,0.7142857142857143,True,False,0.4
12029536,50,500000.0,no,7,7,0.14,2,0.7142857142857143,True,False,0.4
12044014,25,100000.0,no,6,6,0.24,4,1.0,True,False,0.35
12072619,50,2500000.0,no,6,6,0.12,2,1.0,True,False,0.4
12095669,50,500000.0,no,6,6,0.12,2,0.8333333333333334,True,False,0.4
12103678,50,1000000.0,no,6,6,0.12,2,1.0,True,False,0.4
12159867,25,100000.0,no,6,6,0.24,4,0.6666666666666666,True,False,0.35
12167481,50,1500000.0,no,5,5,0.1,2,0.8,True,False,0.4
12300171,50,500000.0,no,6,6,0.12,2,0.8333333333333334,True,False,0.4
12307071,50,1000000.0,no,6,6,0.12,2,0.8333333333333334,True,False,0.4
12308015,25,100000.0,no,6,6,0.24,4,0.8333333333333334,True,False,0.35
12382088,50,500000.0,no,5,5,0.1,2,1.0,True,False,0.4
12446360,25,100000.0,no,5,5,0.2,4,1.0,True,False,0.35
12489536,50,1000000.0,no,5,5,0.1,2,1.0,True,False,0.4
12523242,50,2500000.0,no,4,4,0.08,2,0.75,True,False,0.4
12523306,50,500000.0,no,5,5,0.1,2,1.0,True,False,0.4
12645667,25,100000.0,no,4,4,0.16,4,0.75,True,False,0.35
12667552,50,500000.0,no,4,4,0.08,2,1.0,True,False,0.4
12735943,50,1000000.0,no,4,4,0.08,2,1.0,True,False,0.4
12735992,50,1500000.0,no,3,3,0.06,2,1.0,True,False,0.4
12758337,25,100000.0,no,4,4,0.16,4,0.75,True,False,0.35
12786159,50,500000.0,no,4,4,0.08,2,1.0,True,False,0.4
12928871,50,2500000.0,no,3,3,0.06,2,1.0,True,False,0.4
12929069,25,100000.0,no,4,4,0.16,4,0.75,True,False,0.35
12929114,50,500000.0,no,3,3,0.06,2,1.0,True,False,0.4
12929157,50,1000000.0,no,3,3,0.06,2,1.0,True,False,0.4
13060934,25,100000.0,no,3,3,0.12,4,1.0,True,False,0.35
13061200,50,500000.0,no,3,3,0.06,2,1.0,True,False,0.4
13213335,50,1000000.0,no,3,3,0.06,2,1.0,True,False,0.4
13236473,50,500000.0,no,3,3,0.06,2,1.0,True,False,0.4
13236519,25,100000.0,no,3,3,0.12,4,1.0,True,False,0.35
13338639,25,100000.0,no,2,2,0.08,4,1.0,True,False,0.35
13385016,50,500000.0,no,2,2,0.04,2,1.0,True,False,0.4
13385070,50,2500000.0,no,1,1,0.02,2,1.0,True,False,0.4
13460820,50,1000000.0,no,2,2,0.04,2,1.0,True,False,0.4
13460943,25,100000.0,no,2,2,0.08,3,0.5,True,False,0.35
13575234,50,500000.0,no,2,2,0.04,2,1.0,True,False,0.4
13634908,25,100000.0,no,1,1,0.04,4,1.0,True,False,0.35
13694412,50,500000.0,no,1,1,0.02,2,1.0,True,False,0.4
13760474,25,100000.0,no,1,1,0.04,4,1.0,True,False,0.35
13775985,50,1000000.0,no,1,1,0.02,2,1.0,True,False,0.4
13878857,50,500000.0,no,1,1,0.02,2,1.0,True,False,0.4
